Entity,Code,Year,Solar (TWh – sub method)
Australia,AUS,2013,9.85
Australia,AUS,2014,12.602
Australia,AUS,2015,15.673
Australia,AUS,2016,18.71
Australia,AUS,2017,22.294
Australia,AUS,2018,30.651
Australia,AUS,2019,45.307
Australia,AUS,2020,58.823
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0.003
Austria,AUT,1994,0.003
Austria,AUT,1995,0.003
Austria,AUT,1996,0.003
Austria,AUT,1997,0.006
Austria,AUT,1998,0.006
Austria,AUT,1999,0.006
Austria,AUT,2000,0.008
Austria,AUT,2001,0.014
Austria,AUT,2002,0.025
Austria,AUT,2003,0.041
Austria,AUT,2004,0.049
Austria,AUT,2005,0.057
Austria,AUT,2006,0.06
Austria,AUT,2007,0.064
Austria,AUT,2008,0.08
Austria,AUT,2009,0.128
Austria,AUT,2010,0.232
Austria,AUT,2011,0.451
Austria,AUT,2012,0.869
Austria,AUT,2013,1.603
Austria,AUT,2014,1.998
Austria,AUT,2015,2.371
Austria,AUT,2016,2.756
Austria,AUT,2017,3.172
Austria,AUT,2018,3.617
Austria,AUT,2019,4.215
Austria,AUT,2020,3.924
Azerbaijan,AZE,1985,0
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.002
Azerbaijan,AZE,2014,0.007
Azerbaijan,AZE,2015,0.012
Azerbaijan,AZE,2016,0.089
Azerbaijan,AZE,2017,0.093
Azerbaijan,AZE,2018,0.098
Azerbaijan,AZE,2019,0.109
Azerbaijan,AZE,2020,0.116
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0.002
Bangladesh,BGD,2004,0.005
Bangladesh,BGD,2005,0.009
Bangladesh,BGD,2006,0.014
Bangladesh,BGD,2007,0.024
Bangladesh,BGD,2008,0.04
Bangladesh,BGD,2009,0.066
Bangladesh,BGD,2010,0.116
Bangladesh,BGD,2011,0.151
Bangladesh,BGD,2012,0.234
Bangladesh,BGD,2013,0.332
Bangladesh,BGD,2014,0.425
Bangladesh,BGD,2015,0.502
Bangladesh,BGD,2016,0.553
Bangladesh,BGD,2017,0.633
Bangladesh,BGD,2018,0.684
Bangladesh,BGD,2019,0.865
Bangladesh,BGD,2020,1.018
Belarus,BLR,1985,0
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0
Belarus,BLR,2005,0
Belarus,BLR,2006,0
Belarus,BLR,2007,0
Belarus,BLR,2008,0
Belarus,BLR,2009,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0.001
Belarus,BLR,2014,0.005
Belarus,BLR,2015,0.023
Belarus,BLR,2016,0.065
Belarus,BLR,2017,0.223
Belarus,BLR,2018,0.293
Belarus,BLR,2019,0.443
Belarus,BLR,2020,0.448
Belgium,BEL,1965,0
Belgium,BEL,1966,0
Belgium,BEL,1967,0
Belgium,BEL,1968,0
Belgium,BEL,1969,0
Belgium,BEL,1970,0
Belgium,BEL,1971,0
Belgium,BEL,1972,0
Belgium,BEL,1973,0
Belgium,BEL,1974,0
Belgium,BEL,1975,0
Belgium,BEL,1976,0
Belgium,BEL,1977,0
Belgium,BEL,1978,0
Belgium,BEL,1979,0
Belgium,BEL,1980,0
Belgium,BEL,1981,0
Belgium,BEL,1982,0
Belgium,BEL,1983,0
Belgium,BEL,1984,0
Belgium,BEL,1985,0
Belgium,BEL,1986,0
Belgium,BEL,1987,0
Belgium,BEL,1988,0
Belgium,BEL,1989,0
Belgium,BEL,1990,0
Belgium,BEL,1991,0
Belgium,BEL,1992,0
Belgium,BEL,1993,0
Belgium,BEL,1994,0
Belgium,BEL,1995,0
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0
Belgium,BEL,2003,0
Belgium,BEL,2004,0.003
Belgium,BEL,2005,0.003
Belgium,BEL,2006,0.005
Belgium,BEL,2007,0.016
Belgium,BEL,2008,0.111
Belgium,BEL,2009,0.435
Belgium,BEL,2010,1.46
Belgium,BEL,2011,3.029
Belgium,BEL,2012,5.533
Belgium,BEL,2013,6.769
Belgium,BEL,2014,7.345
Belgium,BEL,2015,7.732
Belgium,BEL,2016,7.784
Belgium,BEL,2017,8.269
Belgium,BEL,2018,9.7
Belgium,BEL,2019,10.516
Belgium,BEL,2020,12.675
Brazil,BRA,1965,0
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,0
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0
Brazil,BRA,1981,0
Brazil,BRA,1982,0
Brazil,BRA,1983,0
Brazil,BRA,1984,0
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0
Brazil,BRA,2011,0
Brazil,BRA,2012,0.003
Brazil,BRA,2013,0.012
Brazil,BRA,2014,0.041
Brazil,BRA,2015,0.149
Brazil,BRA,2016,0.214
Brazil,BRA,2017,2.08
Brazil,BRA,2018,8.603
Brazil,BRA,2019,16.478
Brazil,BRA,2020,19.635
Bulgaria,BGR,1965,0
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,0.008
Bulgaria,BGR,2010,0.039
Bulgaria,BGR,2011,0.262
Bulgaria,BGR,2012,2.097
Bulgaria,BGR,2013,3.484
Bulgaria,BGR,2014,3.186
Bulgaria,BGR,2015,3.499
Bulgaria,BGR,2016,3.486
Bulgaria,BGR,2017,3.507
Bulgaria,BGR,2018,3.337
Bulgaria,BGR,2019,3.572
Bulgaria,BGR,2020,3.694
CIS,,1965,0
CIS,,1966,0
CIS,,1967,0
CIS,,1968,0
CIS,,1969,0
CIS,,1970,0
CIS,,1971,0
CIS,,1972,0
CIS,,1973,0
CIS,,1974,0
CIS,,1975,0
CIS,,1976,0
CIS,,1977,0
CIS,,1978,0
CIS,,1979,0
CIS,,1980,0
CIS,,1981,0
CIS,,1982,0
CIS,,1983,0
CIS,,1984,0
CIS,,1985,0
CIS,,1986,0
CIS,,1987,0
CIS,,1988,0
CIS,,1989,0
CIS,,1990,0
CIS,,1991,0
CIS,,1992,0
CIS,,1993,0
CIS,,1994,0
CIS,,1995,0
CIS,,1996,0
CIS,,1997,0
CIS,,1998,0
CIS,,1999,0
CIS,,2000,0
CIS,,2001,0
CIS,,2002,0
CIS,,2003,0
CIS,,2004,0
CIS,,2005,0
CIS,,2006,0
CIS,,2007,0
CIS,,2008,0
CIS,,2009,0
CIS,,2010,0.001
CIS,,2011,0.005
CIS,,2012,0.016
CIS,,2013,0.048
CIS,,2014,0.451
CIS,,2015,1.04
CIS,,2016,1.6
CIS,,2017,1.952
CIS,,2018,2.368
CIS,,2019,4.193
CIS,,2020,11.73
Canada,CAN,1965,0
Canada,CAN,1966,0
Canada,CAN,1967,0
Canada,CAN,1968,0
Canada,CAN,1969,0
Canada,CAN,1970,0
Canada,CAN,1971,0
Canada,CAN,1972,0
Canada,CAN,1973,0
Canada,CAN,1974,0
Canada,CAN,1975,0
Canada,CAN,1976,0
Canada,CAN,1977,0
Canada,CAN,1978,0
Canada,CAN,1979,0
Canada,CAN,1980,0
Canada,CAN,1981,0
Canada,CAN,1982,0
Canada,CAN,1983,0
Canada,CAN,1984,0
Canada,CAN,1985,0
Canada,CAN,1986,0
Canada,CAN,1987,0
Canada,CAN,1988,0
Canada,CAN,1989,0
Canada,CAN,1990,0
Canada,CAN,1991,0
Canada,CAN,1992,0.006
Canada,CAN,1993,0.006
Canada,CAN,1994,0.006
Canada,CAN,1995,0.011
Canada,CAN,1996,0.016
Canada,CAN,1997,0.019
Canada,CAN,1998,0.028
Canada,CAN,1999,0.037
Canada,CAN,2000,0.046
Canada,CAN,2001,0.054
Canada,CAN,2002,0.062
Canada,CAN,2003,0.062
Canada,CAN,2004,0.039
Canada,CAN,2005,0.05
Canada,CAN,2006,0.061
Canada,CAN,2007,0.077
Canada,CAN,2008,0.092
Canada,CAN,2009,0.286
Canada,CAN,2010,0.665
Canada,CAN,2011,1.482
Canada,CAN,2012,2.269
Canada,CAN,2013,3.838
Canada,CAN,2014,5.395
Canada,CAN,2015,7.324
Canada,CAN,2016,10.14
Canada,CAN,2017,8.934
Canada,CAN,2018,9.437
Canada,CAN,2019,10.442
Canada,CAN,2020,10.915
Chile,CHL,1965,0
Chile,CHL,1966,0
Chile,CHL,1967,0
Chile,CHL,1968,0
Chile,CHL,1969,0
Chile,CHL,1970,0
Chile,CHL,1971,0
Chile,CHL,1972,0
Chile,CHL,1973,0
Chile,CHL,1974,0
Chile,CHL,1975,0
Chile,CHL,1976,0
Chile,CHL,1977,0
Chile,CHL,1978,0
Chile,CHL,1979,0
Chile,CHL,1980,0
Chile,CHL,1981,0
Chile,CHL,1982,0
Chile,CHL,1983,0
Chile,CHL,1984,0
Chile,CHL,1985,0
Chile,CHL,1986,0
Chile,CHL,1987,0
Chile,CHL,1988,0
Chile,CHL,1989,0
Chile,CHL,1990,0
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,0.001
Chile,CHL,2013,0.017
Chile,CHL,2014,1.167
Chile,CHL,2015,3.441
Chile,CHL,2016,6.413
Chile,CHL,2017,9.74
Chile,CHL,2018,12.722
Chile,CHL,2019,15.601
Chile,CHL,2020,18.787
China,CHN,1965,0
China,CHN,1966,0
China,CHN,1967,0
China,CHN,1968,0
China,CHN,1969,0
China,CHN,1970,0
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.006
China,CHN,1991,0.006
China,CHN,1992,0.008
China,CHN,1993,0.011
China,CHN,1994,0.014
China,CHN,1995,0.019
China,CHN,1996,0.025
China,CHN,1997,0.031
China,CHN,1998,0.039
China,CHN,1999,0.047
China,CHN,2000,0.061
China,CHN,2001,0.086
China,CHN,2002,0.132
China,CHN,2003,0.174
China,CHN,2004,0.206
China,CHN,2005,0.226
China,CHN,2006,0.254
China,CHN,2007,0.303
China,CHN,2008,0.401
China,CHN,2009,0.732
China,CHN,2010,1.828
China,CHN,2011,6.764
China,CHN,2012,9.259
China,CHN,2013,21.439
China,CHN,2014,59.836
China,CHN,2015,99.877
China,CHN,2016,167.304
China,CHN,2017,294.5
China,CHN,2018,439.664
China,CHN,2019,554.673
China,CHN,2020,644.166
Colombia,COL,1965,0
Colombia,COL,1966,0
Colombia,COL,1967,0
Colombia,COL,1968,0
Colombia,COL,1969,0
Colombia,COL,1970,0
Colombia,COL,1971,0
Colombia,COL,1972,0
Colombia,COL,1973,0
Colombia,COL,1974,0
Colombia,COL,1975,0
Colombia,COL,1976,0
Colombia,COL,1977,0
Colombia,COL,1978,0
Colombia,COL,1979,0
Colombia,COL,1980,0
Colombia,COL,1981,0
Colombia,COL,1982,0
Colombia,COL,1983,0
Colombia,COL,1984,0
Colombia,COL,1985,0
Colombia,COL,1986,0
Colombia,COL,1987,0
Colombia,COL,1988,0
Colombia,COL,1989,0
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0.005
Colombia,COL,2001,0.007
Colombia,COL,2002,0.013
Colombia,COL,2003,0.017
Colombia,COL,2004,0.022
Colombia,COL,2005,0.026
Colombia,COL,2006,0
Colombia,COL,2007,0
Colombia,COL,2008,0
Colombia,COL,2009,0
Colombia,COL,2010,0
Colombia,COL,2011,0
Colombia,COL,2012,0
Colombia,COL,2013,0
Colombia,COL,2014,0
Colombia,COL,2015,0
Colombia,COL,2016,0
Colombia,COL,2017,0
Colombia,COL,2018,0.03
Colombia,COL,2019,0.325
Colombia,COL,2020,0.443
Croatia,HRV,1990,0
Croatia,HRV,1991,0
Croatia,HRV,1992,0
Croatia,HRV,1993,0
Croatia,HRV,1994,0
Croatia,HRV,1995,0
Croatia,HRV,1996,0
Croatia,HRV,1997,0
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0
Croatia,HRV,2005,0
Croatia,HRV,2006,0
Croatia,HRV,2007,0
Croatia,HRV,2008,0
Croatia,HRV,2009,0
Croatia,HRV,2010,0
Croatia,HRV,2011,0
Croatia,HRV,2012,0.005
Croatia,HRV,2013,0.029
Croatia,HRV,2014,0.089
Croatia,HRV,2015,0.144
Croatia,HRV,2016,0.166
Croatia,HRV,2017,0.197
Croatia,HRV,2018,0.186
Croatia,HRV,2019,0.206
Croatia,HRV,2020,0.207
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.001
Cyprus,CYP,2005,0.002
Cyprus,CYP,2006,0.003
Cyprus,CYP,2007,0.005
Cyprus,CYP,2008,0.008
Cyprus,CYP,2009,0.011
Cyprus,CYP,2010,0.018
Cyprus,CYP,2011,0.031
Cyprus,CYP,2012,0.057
Cyprus,CYP,2013,0.12
Cyprus,CYP,2014,0.213
Cyprus,CYP,2015,0.32
Cyprus,CYP,2016,0.367
