Entity,Code,Year,Gas per capita (kWh)
Austria,AUT,1974,5487.859
Austria,AUT,1975,5473.078
Austria,AUT,1976,6231.079
Austria,AUT,1977,6353.685
Austria,AUT,1978,6616.394
Austria,AUT,1979,6568.807
Austria,AUT,1980,6317.424
Austria,AUT,1981,6025.914
Austria,AUT,1982,5834.552
Austria,AUT,1983,5952.453
Austria,AUT,1984,6623.895
Austria,AUT,1985,7090.288
Austria,AUT,1986,6874.569
Austria,AUT,1987,7158.438
Austria,AUT,1988,6839.804
Austria,AUT,1989,7319.248
Austria,AUT,1990,8018.555
Austria,AUT,1991,8448.063
Austria,AUT,1992,8234.299
Austria,AUT,1993,8592.466
Austria,AUT,1994,8776.855
Austria,AUT,1995,9531.432
Austria,AUT,1996,10110.058
Austria,AUT,1997,9725.758
Austria,AUT,1998,9974.732
Austria,AUT,1999,10175.943
Austria,AUT,2000,9691.727
Austria,AUT,2001,10235.186
Austria,AUT,2002,10017.384
Austria,AUT,2003,10962.742
Austria,AUT,2004,11013.084
Austria,AUT,2005,11543.629
Austria,AUT,2006,10806.079
Austria,AUT,2007,10189.05
Austria,AUT,2008,10871.588
Austria,AUT,2009,10548.527
Austria,AUT,2010,11430.3
Austria,AUT,2011,10695.94
Austria,AUT,2012,10143.396
Austria,AUT,2013,9584.25
Austria,AUT,2014,8718.285
Austria,AUT,2015,9181.25
Austria,AUT,2016,9536.876
Austria,AUT,2017,10283.404
Austria,AUT,2018,9770.05
Austria,AUT,2019,9938.962
Austria,AUT,2020,9468.296
Azerbaijan,AZE,1985,19890.629
Azerbaijan,AZE,1986,21734.621
Azerbaijan,AZE,1987,21108.73
Azerbaijan,AZE,1988,20498.423
Azerbaijan,AZE,1989,21183.518
Azerbaijan,AZE,1990,21258.508
Azerbaijan,AZE,1991,20023.386
Azerbaijan,AZE,1992,15335.163
Azerbaijan,AZE,1993,11155.703
Azerbaijan,AZE,1994,10297.144
Azerbaijan,AZE,1995,10058.449
Azerbaijan,AZE,1996,7293.748
Azerbaijan,AZE,1997,6884.803
Azerbaijan,AZE,1998,6373.099
Azerbaijan,AZE,1999,6774.995
Azerbaijan,AZE,2000,6493.318
Azerbaijan,AZE,2001,9229.183
Azerbaijan,AZE,2002,9166.15
Azerbaijan,AZE,2003,9304.528
Azerbaijan,AZE,2004,10797.569
Azerbaijan,AZE,2005,11036.016
Azerbaijan,AZE,2006,11542.795
Azerbaijan,AZE,2007,10053.39
Azerbaijan,AZE,2008,11374.668
Azerbaijan,AZE,2009,9600.835
Azerbaijan,AZE,2010,9017.341
Azerbaijan,AZE,2011,9752.751
Azerbaijan,AZE,2012,10104.449
Azerbaijan,AZE,2013,10018.678
Azerbaijan,AZE,2014,10366.981
Azerbaijan,AZE,2015,11583.562
Azerbaijan,AZE,2016,11227.003
Azerbaijan,AZE,2017,10783.416
Azerbaijan,AZE,2018,10870.678
Azerbaijan,AZE,2019,11733.255
Azerbaijan,AZE,2020,11730.436
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,65.983
Bangladesh,BGD,1973,89.928
Bangladesh,BGD,1974,97.28
Bangladesh,BGD,1975,95.94
Bangladesh,BGD,1976,123.519
Bangladesh,BGD,1977,134.405
Bangladesh,BGD,1978,144.431
Bangladesh,BGD,1979,161.709
Bangladesh,BGD,1980,177.284
Bangladesh,BGD,1981,166.495
Bangladesh,BGD,1982,210.585
Bangladesh,BGD,1983,228.31
Bangladesh,BGD,1984,256.747
Bangladesh,BGD,1985,284.038
Bangladesh,BGD,1986,311.953
Bangladesh,BGD,1987,357.014
Bangladesh,BGD,1988,409.437
Bangladesh,BGD,1989,422.052
Bangladesh,BGD,1990,443.357
Bangladesh,BGD,1991,446.098
Bangladesh,BGD,1992,475.722
Bangladesh,BGD,1993,521.09
Bangladesh,BGD,1994,540.953
Bangladesh,BGD,1995,585.425
Bangladesh,BGD,1996,615.085
Bangladesh,BGD,1997,591.981
Bangladesh,BGD,1998,626.53
Bangladesh,BGD,1999,669.413
Bangladesh,BGD,2000,709.568
Bangladesh,BGD,2001,779.715
Bangladesh,BGD,2002,805.503
Bangladesh,BGD,2003,851.569
Bangladesh,BGD,2004,900.837
Bangladesh,BGD,2005,953.955
Bangladesh,BGD,2006,1019.249
Bangladesh,BGD,2007,1075.028
Bangladesh,BGD,2008,1134.855
Bangladesh,BGD,2009,1284.686
Bangladesh,BGD,2010,1304.671
Bangladesh,BGD,2011,1311.835
Bangladesh,BGD,2012,1412.946
Bangladesh,BGD,2013,1437.065
Bangladesh,BGD,2014,1489.948
Bangladesh,BGD,2015,1654.595
Bangladesh,BGD,2016,1674.354
Bangladesh,BGD,2017,1665.318
Bangladesh,BGD,2018,1699.689
Bangladesh,BGD,2019,1897.279
Bangladesh,BGD,2020,1848.011
Belarus,BLR,1985,8739.279
Belarus,BLR,1986,8849.695
Belarus,BLR,1987,9928.072
Belarus,BLR,1988,11433.195
Belarus,BLR,1989,11989.573
Belarus,BLR,1990,12739.968
Belarus,BLR,1991,13320.709
Belarus,BLR,1992,15478.943
Belarus,BLR,1993,14388.863
Belarus,BLR,1994,12612.01
Belarus,BLR,1995,11437.282
Belarus,BLR,1996,12084.042
Belarus,BLR,1997,13871.017
Belarus,BLR,1998,14101.419
Belarus,BLR,1999,14430.234
Belarus,BLR,2000,15391.202
Belarus,BLR,2001,15396.965
Belarus,BLR,2002,15947.98
Belarus,BLR,2003,15787.083
Belarus,BLR,2004,19273.267
Belarus,BLR,2005,19872.947
Belarus,BLR,2006,20379.351
Belarus,BLR,2007,20538.498
Belarus,BLR,2008,21095.708
Belarus,BLR,2009,17949.443
Belarus,BLR,2010,22003.304
Belarus,BLR,2011,20420.133
Belarus,BLR,2012,20611.682
Belarus,BLR,2013,20449.184
Belarus,BLR,2014,20273.513
Belarus,BLR,2015,18961.882
Belarus,BLR,2016,18831.476
Belarus,BLR,2017,19268.064
Belarus,BLR,2018,20432.747
Belarus,BLR,2019,20274.741
Belarus,BLR,2020,18906.193
Belgium,BEL,1965,77.828
Belgium,BEL,1966,139.797
Belgium,BEL,1967,530.536
Belgium,BEL,1968,1285.755
Belgium,BEL,1969,2639.161
Belgium,BEL,1970,4126.977
Belgium,BEL,1971,5672.458
Belgium,BEL,1972,7130.368
Belgium,BEL,1973,8545.875
Belgium,BEL,1974,9988.365
Belgium,BEL,1975,9844.345
Belgium,BEL,1976,10374.064
Belgium,BEL,1977,10183.631
Belgium,BEL,1978,10076.901
Belgium,BEL,1979,10990.587
Belgium,BEL,1980,10500.719
Belgium,BEL,1981,9673.566
Belgium,BEL,1982,8057.409
Belgium,BEL,1983,8366.321
Belgium,BEL,1984,8625.82
Belgium,BEL,1985,8658.64
Belgium,BEL,1986,7764.996
Belgium,BEL,1987,8551.012
Belgium,BEL,1988,8425.141
Belgium,BEL,1989,9342.955
Belgium,BEL,1990,9563.598
Belgium,BEL,1991,10167.697
Belgium,BEL,1992,10438.61
Belgium,BEL,1993,10880.178
Belgium,BEL,1994,11084.787
Belgium,BEL,1995,12224.807
Belgium,BEL,1996,13559.685
Belgium,BEL,1997,12915.457
Belgium,BEL,1998,14129.13
Belgium,BEL,1999,15061.721
Belgium,BEL,2000,15100.387
Belgium,BEL,2001,14863.43
Belgium,BEL,2002,15275.178
Belgium,BEL,2003,16188.254
Belgium,BEL,2004,16400.592
Belgium,BEL,2005,16017.515
Belgium,BEL,2006,16374.538
Belgium,BEL,2007,16376.644
Belgium,BEL,2008,16144.211
Belgium,BEL,2009,16182.492
Belgium,BEL,2010,17738.811
Belgium,BEL,2011,15002.927
Belgium,BEL,2012,15101.017
Belgium,BEL,2013,14822.486
Belgium,BEL,2014,12888.977
Belgium,BEL,2015,14041.468
Belgium,BEL,2016,14258.088
Belgium,BEL,2017,14371.164
Belgium,BEL,2018,14695.914
Belgium,BEL,2019,15064.583
Belgium,BEL,2020,14666.744
Brazil,BRA,1965,6.158
Brazil,BRA,1966,7.006
Brazil,BRA,1967,7.71
Brazil,BRA,1968,7.936
Brazil,BRA,1969,8.151
Brazil,BRA,1970,8.527
Brazil,BRA,1971,13.103
Brazil,BRA,1972,17.563
Brazil,BRA,1973,19.629
Brazil,BRA,1974,36.888
Brazil,BRA,1975,39.145
Brazil,BRA,1976,44.044
Brazil,BRA,1977,53.653
Brazil,BRA,1978,68.952
Brazil,BRA,1979,73.789
Brazil,BRA,1980,84.247
Brazil,BRA,1981,73.836
Brazil,BRA,1982,103.061
Brazil,BRA,1983,136.188
Brazil,BRA,1984,154.994
Brazil,BRA,1985,190.277
Brazil,BRA,1986,217.127
Brazil,BRA,1987,237.591
Brazil,BRA,1988,234.618
Brazil,BRA,1989,236.107
Brazil,BRA,1990,211.104
Brazil,BRA,1991,215.635
Brazil,BRA,1992,240.141
Brazil,BRA,1993,276.665
Brazil,BRA,1994,297.252
Brazil,BRA,1995,322.831
Brazil,BRA,1996,350.075
Brazil,BRA,1997,374.531
Brazil,BRA,1998,386.556
Brazil,BRA,1999,451.956
Brazil,BRA,2000,555.209
Brazil,BRA,2001,693.368
Brazil,BRA,2002,808.536
Brazil,BRA,2003,893.646
Brazil,BRA,2004,1050.099
Brazil,BRA,2005,1081.365
Brazil,BRA,2006,1125.052
Brazil,BRA,2007,1146.668
Brazil,BRA,2008,1336.294
Brazil,BRA,2009,1066.017
Brazil,BRA,2010,1409.038
Brazil,BRA,2011,1391.464
Brazil,BRA,2012,1634.653
Brazil,BRA,2013,1909.251
Brazil,BRA,2014,2005.068
Brazil,BRA,2015,2099.878
Brazil,BRA,2016,1798.96
Brazil,BRA,2017,1810.68
Brazil,BRA,2018,1713.417
Brazil,BRA,2019,1693.128
Brazil,BRA,2020,1511.022
Bulgaria,BGR,1965,68.437
Bulgaria,BGR,1966,101.332
Bulgaria,BGR,1967,306.266
Bulgaria,BGR,1968,465.643
Bulgaria,BGR,1969,481.186
Bulgaria,BGR,1970,431.565
Bulgaria,BGR,1971,336.078
Bulgaria,BGR,1972,225.122
Bulgaria,BGR,1973,225.574
Bulgaria,BGR,1974,489.07
Bulgaria,BGR,1975,1293.003
Bulgaria,BGR,1976,2252.567
Bulgaria,BGR,1977,2864.782
Bulgaria,BGR,1978,3047.143
Bulgaria,BGR,1979,3250.746
Bulgaria,BGR,1980,4166.282
Bulgaria,BGR,1981,4518.68
Bulgaria,BGR,1982,4985.947
Bulgaria,BGR,1983,5226.058
Bulgaria,BGR,1984,5485.064
Bulgaria,BGR,1985,5978.377
Bulgaria,BGR,1986,5938.726
Bulgaria,BGR,1987,6631.627
Bulgaria,BGR,1988,6459.303
Bulgaria,BGR,1989,6678.62
Bulgaria,BGR,1990,7127.5
Bulgaria,BGR,1991,6070.439
Bulgaria,BGR,1992,5430.985
Bulgaria,BGR,1993,5112.59
Bulgaria,BGR,1994,5175.659
Bulgaria,BGR,1995,6317.863
Bulgaria,BGR,1996,6522.491
Bulgaria,BGR,1997,5254.301
Bulgaria,BGR,1998,4436.348
Bulgaria,BGR,1999,3877.34
Bulgaria,BGR,2000,4259.626
Bulgaria,BGR,2001,3611.191
Bulgaria,BGR,2002,3228.101
Bulgaria,BGR,2003,3438.233
Bulgaria,BGR,2004,3382.831
Bulgaria,BGR,2005,4249.275
Bulgaria,BGR,2006,4410.554
Bulgaria,BGR,2007,4476.769
Bulgaria,BGR,2008,4508.36
Bulgaria,BGR,2009,3246.637
Bulgaria,BGR,2010,3599.021
Bulgaria,BGR,2011,4146.357
Bulgaria,BGR,2012,3887.68
Bulgaria,BGR,2013,3778.282
Bulgaria,BGR,2014,3776.27
Bulgaria,BGR,2015,4167.307
Bulgaria,BGR,2016,4369.512
Bulgaria,BGR,2017,4524.709
Bulgaria,BGR,2018,4286.861
Bulgaria,BGR,2019,4044.043
Bulgaria,BGR,2020,4203.318
Canada,CAN,1965,11039.571
Canada,CAN,1966,11875.685
Canada,CAN,1967,12394.591
Canada,CAN,1968,13568.127
Canada,CAN,1969,14910.475
Canada,CAN,1970,16203.496
Canada,CAN,1971,17016.878
Canada,CAN,1972,18837.962
Canada,CAN,1973,19726.668
Canada,CAN,1974,19651.019
Canada,CAN,1975,20017.197
Canada,CAN,1976,19939.449
Canada,CAN,1977,20666.608
Canada,CAN,1978,20630.721
Canada,CAN,1979,20720.652
Canada,CAN,1980,20374.883
Canada,CAN,1981,19568.846
Canada,CAN,1982,20516.781
Canada,CAN,1983,19366.789
Canada,CAN,1984,21266.186
Canada,CAN,1985,22047.201
Canada,CAN,1986,20948.95
Canada,CAN,1987,20915.967
Canada,CAN,1988,22699.126
Canada,CAN,1989,24201.397
Canada,CAN,1990,23150.848
Canada,CAN,1991,23020.386
Canada,CAN,1992,24112.255
Canada,CAN,1993,25293.652
Canada,CAN,1994,25901.256
Canada,CAN,1995,26488.671
Canada,CAN,1996,26668.059
Canada,CAN,1997,26933.191
Canada,CAN,1998,26233.14
Canada,CAN,1999,27783.659
Canada,CAN,2000,29168.201
Canada,CAN,2001,27215.697
Canada,CAN,2002,28053.713
Canada,CAN,2003,28513.955
Canada,CAN,2004,27602.858
Canada,CAN,2005,27477.743
Canada,CAN,2006,26918.281
Canada,CAN,2007,28350.727
Canada,CAN,2008,27957.381
Canada,CAN,2009,26825.757
Canada,CAN,2010,26946.567
Canada,CAN,2011,29278.048
Canada,CAN,2012,28579.481
Canada,CAN,2013,30015.675
Canada,CAN,2014,30942.151
Canada,CAN,2015,30658.931
Canada,CAN,2016,29256.441
Canada,CAN,2017,30029.79
Canada,CAN,2018,31401.949
Canada,CAN,2019,31499.878
Canada,CAN,2020,29843.34
Chile,CHL,1965,687.216
Chile,CHL,1966,704.863
Chile,CHL,1967,614.081
Chile,CHL,1968,516.167
Chile,CHL,1969,668.234
Chile,CHL,1970,656.454
Chile,CHL,1971,658.699
Chile,CHL,1972,590.157
Chile,CHL,1973,456.099
Chile,CHL,1974,467.717
Chile,CHL,1975,522.327
Chile,CHL,1976,561.59
Chile,CHL,1977,569.169
Chile,CHL,1978,523.606
Chile,CHL,1979,610.565
Chile,CHL,1980,616.323
Chile,CHL,1981,598.383
Chile,CHL,1982,610.943
Chile,CHL,1983,650.137
Chile,CHL,1984,655.545
Chile,CHL,1985,645.168
Chile,CHL,1986,581.199
Chile,CHL,1987,555.129
Chile,CHL,1988,767.684
Chile,CHL,1989,1178.203
Chile,CHL,1990,1244.463
Chile,CHL,1991,1441.68
Chile,CHL,1992,1586.178
Chile,CHL,1993,1615.931
Chile,CHL,1994,1534.211
Chile,CHL,1995,1448.245
Chile,CHL,1996,1451.024
Chile,CHL,1997,1947.717
Chile,CHL,1998,2655.351
Chile,CHL,1999,3583.007
Chile,CHL,2000,4571.698
Chile,CHL,2001,5123.808
Chile,CHL,2002,5111.909
Chile,CHL,2003,5472.609
Chile,CHL,2004,5878.89
Chile,CHL,2005,5628.083
Chile,CHL,2006,5153.538
Chile,CHL,2007,3005.473
Chile,CHL,2008,1654.961
Chile,CHL,2009,1655.154
Chile,CHL,2010,3363.955
Chile,CHL,2011,3386.713
Chile,CHL,2012,3046.398
Chile,CHL,2013,3023.41
Chile,CHL,2014,2477.022
Chile,CHL,2015,2684.731
Chile,CHL,2016,3249.098
Chile,CHL,2017,3039.777
Chile,CHL,2018,3009.57
Chile,CHL,2019,3436.604
Chile,CHL,2020,3202.523
China,CHN,1965,15.308
China,CHN,1966,18.191
China,CHN,1967,19.296
China,CHN,1968,17.996
China,CHN,1969,24.509
China,CHN,1970,34.951
China,CHN,1971,44.411
China,CHN,1972,56.103
China,CHN,1973,67.759
China,CHN,1974,83.539
China,CHN,1975,96.299
China,CHN,1976,107.984
China,CHN,1977,127.523
China,CHN,1978,142.336
China,CHN,1979,148.298
China,CHN,1980,143.81
China,CHN,1981,126.627
China,CHN,1982,116.969
China,CHN,1983,118.051
China,CHN,1984,118.391
China,CHN,1985,121.159
China,CHN,1986,126.649
China,CHN,1987,125.431
China,CHN,1988,126.324
China,CHN,1989,130.939
China,CHN,1990,131.01
China,CHN,1991,130.873
China,CHN,1992,131.881
China,CHN,1993,138.634
China,CHN,1994,143.877
China,CHN,1995,144.083
China,CHN,1996,149.694
China,CHN,1997,156.883
China,CHN,1998,160.508
China,CHN,1999,169.043
China,CHN,2000,191.358
China,CHN,2001,212.802
China,CHN,2002,224.986
China,CHN,2003,259.824
China,CHN,2004,302.203
China,CHN,2005,352.991
China,CHN,2006,431.735
China,CHN,2007,528.07
China,CHN,2008,605.31
China,CHN,2009,662.843
China,CHN,2010,795.392
China,CHN,2011,981.934
China,CHN,2012,1089.994
China,CHN,2013,1234.864
China,CHN,2014,1345.977
China,CHN,2015,1383.872
China,CHN,2016,1481.145
China,CHN,2017,1697.737
China,CHN,2018,1988.762
China,CHN,2019,2150.792
China,CHN,2020,2296.775
Colombia,COL,1965,478.032
Colombia,COL,1966,484.252
Colombia,COL,1967,582.231
Colombia,COL,1968,577.207
Colombia,COL,1969,613.787
Colombia,COL,1970,581.621
Colombia,COL,1971,591.007
Colombia,COL,1972,705.497
Colombia,COL,1973,714.891
Colombia,COL,1974,727.567
Colombia,COL,1975,670.764
Colombia,COL,1976,699.14
Colombia,COL,1977,765.155
Colombia,COL,1978,926.831
Colombia,COL,1979,977.522
Colombia,COL,1980,1054.684
Colombia,COL,1981,1114.12
Colombia,COL,1982,1175.414
Colombia,COL,1983,1273.231
Colombia,COL,1984,1237.786
Colombia,COL,1985,1216.388
Colombia,COL,1986,1212.554
Colombia,COL,1987,1206.468
Colombia,COL,1988,1187.155
Colombia,COL,1989,1110.962
Colombia,COL,1990,1130.412
Colombia,COL,1991,1142.904
Colombia,COL,1992,1102.933
Colombia,COL,1993,1123.265
Colombia,COL,1994,1090.538
Colombia,COL,1995,1138.685
Colombia,COL,1996,1216.483
Colombia,COL,1997,1504.091
Colombia,COL,1998,1717.385
Colombia,COL,1999,1459.226
Colombia,COL,2000,1447.342
Colombia,COL,2001,1475.309
Colombia,COL,2002,1467.555
Colombia,COL,2003,1386.077
Colombia,COL,2004,1458.036
Colombia,COL,2005,1511.534
Colombia,COL,2006,1565.867
Colombia,COL,2007,1637.414
Colombia,COL,2008,1643.91
Colombia,COL,2009,1872.473
Colombia,COL,2010,1933.795
Colombia,COL,2011,1864.754
Colombia,COL,2012,2054.424
Colombia,COL,2013,2253.393
Colombia,COL,2014,2423.808
Colombia,COL,2015,2359.339
Colombia,COL,2016,2510.962
Colombia,COL,2017,2528.328
Colombia,COL,2018,2660.058
Colombia,COL,2019,2671.157
Colombia,COL,2020,2736.863
Croatia,HRV,1990,5343.55
Croatia,HRV,1991,4965.547
Croatia,HRV,1992,5176.677
Croatia,HRV,1993,5506.826
Croatia,HRV,1994,5225.432
Croatia,HRV,1995,4872.465
Croatia,HRV,1996,5509.921
Croatia,HRV,1997,5765.101
Croatia,HRV,1998,5591.84
Croatia,HRV,1999,5714.76
Croatia,HRV,2000,5802.865
Croatia,HRV,2001,6108.116
Croatia,HRV,2002,6271.216
Croatia,HRV,2003,6243.413
Croatia,HRV,2004,6482.471
Croatia,HRV,2005,6277.295
Croatia,HRV,2006,6218.394
Croatia,HRV,2007,7158.852
Croatia,HRV,2008,6954.497
Croatia,HRV,2009,6438.201
Croatia,HRV,2010,7073.253
Croatia,HRV,2011,6930.445
Croatia,HRV,2012,6533.271
Croatia,HRV,2013,6205.399
Croatia,HRV,2014,5518.889
Croatia,HRV,2015,5720.069
Croatia,HRV,2016,5998.072
Croatia,HRV,2017,6932.286
Croatia,HRV,2018,6413.806
Croatia,HRV,2019,6774.679
Croatia,HRV,2020,7064.377
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
